|('Part', 'Obs', 'time', 'x', 'y', 'Video')|
"['1649319938.1820083', 10, 1649319951.056047, 827.742946403745, 925.3980590722558, 'Media1.mp4_2']"
"['1649319938.1820083', 11, 1649319951.0829773, 1093.4317038728077, 567.6179173410346, 'Media1.mp4_3']"
"['1649319938.1820083', 12, 1649319951.1572964, 1869.4766702097404, 473.54232071531624, 'Media1.mp4_4']"
"['1649319938.1820083', 13, 1649319951.268964, 1991.1848515972633, 361.219628012067, 'Media1.mp4_5']"
"['1649319938.1820083', 14, 1649319951.3028748, 1991.1848515972633, 361.219628012067, 'Media1.mp4_6']"
"['1649319938.1820083', 15, 1649319951.3664443, 2330.9973606816966, 290.2323510186425, 'Media1.mp4_7']"
"['1649319938.1820083', 16, 1649319951.3953652, 2330.9973606816966, 290.2323510186425, 'Media1.mp4_8']"
"['1649319938.1820083', 17, 1649319951.4617107, 2378.0018465641697, 270.1659494496489, 'Media1.mp4_9']"
"['1649319938.1820083', 18, 1649319951.4935844, 2378.0018465641697, 270.1659494496489, 'Media1.mp4_10']"
"['1649319938.1820083', 19, 1649319951.557785, 2812.1494690757318, 215.64600627786604, 'Media1.mp4_11']"
"['1649319938.1820083', 20, 1649319951.5807238, 2812.1494690757318, 215.64600627786604, 'Media1.mp4_12']"
"['1649319938.1820083', 21, 1649319951.6696854, 2791.689071325527, 217.00419902153044, 'Media1.mp4_13']"
"['1649319938.1820083', 22, 1649319951.6906683, 2791.689071325527, 217.00419902153044, 'Media1.mp4_14']"
"['1649319938.1820083', 23, 1649319951.7657883, 2868.7196858670504, 216.08577352598786, 'Media1.mp4_15']"
"['1649319938.1820083', 24, 1649319951.789724, 2868.7196858670504, 216.08577352598786, 'Media1.mp4_16']"
"['1649319938.1820083', 25, 1649319951.8616846, 3284.5942113211313, 173.3849595264146, 'Media1.mp4_17']"
"['1649319938.1820083', 26, 1649319951.8853755, 3284.5942113211313, 173.3849595264146, 'Media1.mp4_18']"
"['1649319938.1820083', 27, 1649319951.9573522, 3414.6174230822, 165.89099752152833, 'Media1.mp4_19']"
"['1649319938.1820083', 28, 1649319951.9810688, 3414.6174230822, 165.89099752152833, 'Media1.mp4_20']"
"['1649319938.1820083', 29, 1649319952.0688658, 3499.098128256952, 153.22315713676107, 'Media1.mp4_21']"
"['1649319938.1820083', 30, 1649319952.0918038, 3499.098128256952, 153.22315713676107, 'Media1.mp4_22']"
"['1649319938.1820083', 31, 1649319952.1659229, 3819.0845011879537, 70.11046524889571, 'Media1.mp4_23']"
"['1649319938.1820083', 32, 1649319952.1910264, 3819.0845011879537, 70.11046524889571, 'Media1.mp4_24']"
"['1649319938.1820083', 33, 1649319952.2621336, 3816.4859829499583, 98.55061784085228, 'Media1.mp4_25']"
"['1649319938.1820083', 34, 1649319952.2875197, 3816.4859829499583, 98.55061784085228, 'Media1.mp4_26']"
"['1649319938.1820083', 35, 1649319952.3581102, 3804.359544089406, 169.27203547690624, 'Media1.mp4_27']"
"['1649319938.1820083', 36, 1649319952.3832717, 3804.359544089406, 169.27203547690624, 'Media1.mp4_28']"
"['1649319938.1820083', 37, 1649319952.4701827, 3881.2527569747363, 196.82846422414514, 'Media1.mp4_29']"
"['1649319938.1820083', 38, 1649319952.4981472, 3881.2527569747363, 196.82846422414514, 'Media1.mp4_30']"
"['1649319938.1820083', 39, 1649319952.5662334, 3723.464171128293, 314.42596519157087, 'Media1.mp4_31']"
"['1649319938.1820083', 40, 1649319952.5904064, 3723.464171128293, 314.42596519157087, 'Media1.mp4_32']"
"['1649319938.1820083', 41, 1649319952.661018, 3483.2992534123077, 267.2039947042322, 'Media1.mp4_33']"
"['1649319938.1820083', 42, 1649319952.6879482, 3483.2992534123077, 267.2039947042322, 'Media1.mp4_34']"
"['1649319938.1820083', 43, 1649319952.757735, 3335.0542383241736, 400.1805957589122, 'Media1.mp4_35']"
"['1649319938.1820083', 44, 1649319952.7817268, 3335.0542383241736, 400.1805957589122, 'Media1.mp4_36']"
"['1649319938.1820083', 45, 1649319952.871461, 2718.5317557789785, 489.5004091351766, 'Media1.mp4_37']"
"['1649319938.1820083', 46, 1649319952.9023724, 2718.5317557789785, 489.5004091351766, 'Media1.mp4_38']"
"['1649319938.1820083', 47, 1649319952.966202, 2903.4173156547513, 308.5071999174197, 'Media1.mp4_39']"
"['1649319938.1820083', 48, 1649319952.9981174, 2903.4173156547513, 308.5071999174197, 'Media1.mp4_40']"
"['1649319938.1820083', 49, 1649319953.0615382, 1888.747070283036, 645.6390797313552, 'Media1.mp4_41']"
"['1649319938.1820083', 50, 1649319953.087408, 1888.747070283036, 645.6390797313552, 'Media1.mp4_42']"
"['1649319938.1820083', 51, 1649319953.1577046, 1189.0817965206734, 819.2687264118667, 'Media1.mp4_43']"
"['1649319938.1820083', 52, 1649319953.182631, 1189.0817965206734, 819.2687264118667, 'Media1.mp4_44']"
"['1649319938.1820083', 53, 1649319953.2692182, 1086.313601075959, 936.2385126965664, 'Media1.mp4_45']"
"['1649319938.1820083', 54, 1649319953.2909045, 1086.313601075959, 936.2385126965664, 'Media1.mp4_46']"
"['1649319938.1820083', 55, 1649319953.3664894, 650.6178534105311, 865.2799798744836, 'Media1.mp4_47']"
"['1649319938.1820083', 56, 1649319953.3914495, 650.6178534105311, 865.2799798744836, 'Media1.mp4_48']"
"['1649319938.1820083', 57, 1649319953.461649, 512.1021661327795, 859.1826290605823, 'Media1.mp4_49']"
"['1649319938.1820083', 58, 1649319953.4835756, 512.1021661327795, 859.1826290605823, 'Media1.mp4_50']"
"['1649319938.1820083', 59, 1649319953.5575032, 673.6421295943437, 733.5979590908173, 'Media1.mp4_51']"
"['1649319938.1820083', 60, 1649319953.5794477, 673.6421295943437, 733.5979590908173, 'Media1.mp4_52']"
"['1649319938.1820083', 61, 1649319953.6693132, 788.7615573414478, 610.4460204849629, 'Media1.mp4_53']"
"['1649319938.1820083', 62, 1649319953.6902966, 788.7615573414478, 610.4460204849629, 'Media1.mp4_54']"
"['1649319938.1820083', 63, 1649319953.766464, 845.9479405327766, 636.9768248951859, 'Media1.mp4_55']"
"['1649319938.1820083', 64, 1649319953.7922041, 845.9479405327766, 636.9768248951859, 'Media1.mp4_56']"
"['1649319938.1820083', 65, 1649319953.861678, 635.4850665907579, 685.2886509799773, 'Media1.mp4_57']"
"['1649319938.1820083', 66, 1649319953.884615, 635.4850665907579, 685.2886509799773, 'Media1.mp4_58']"
"['1649319938.1820083', 67, 1649319953.957377, 830.5804515397431, 682.4694255157574, 'Media1.mp4_59']"
"['1649319938.1820083', 68, 1649319953.9803705, 830.5804515397431, 682.4694255157574, 'Media1.mp4_60']"
"['1649319938.1820083', 69, 1649319954.0691175, 535.7186097381746, 667.7531510214103, 'Media1.mp4_61']"
"['1649319938.1820083', 70, 1649319954.0967612, 535.7186097381746, 667.7531510214103, 'Media1.mp4_62']"
"['1649319938.1820083', 71, 1649319954.1660986, 469.5573573751244, 683.4353836710061, 'Media1.mp4_63']"
"['1649319938.1820083', 72, 1649319954.187093, 469.5573573751244, 683.4353836710061, 'Media1.mp4_64']"
"['1649319938.1820083', 73, 1649319954.262042, 437.2666892038069, 740.603169759368, 'Media1.mp4_65']"
"['1649319938.1820083', 74, 1649319954.2819881, 437.2666892038069, 740.603169759368, 'Media1.mp4_66']"
"['1649319938.1820083', 75, 1649319954.3579414, 410.1068071798363, 749.6319344128169, 'Media1.mp4_67']"
"['1649319938.1820083', 76, 1649319954.3829908, 410.1068071798363, 749.6319344128169, 'Media1.mp4_68']"
"['1649319938.1820083', 77, 1649319954.4690382, 239.28911210188016, 781.2015159640514, 'Media1.mp4_69']"
"['1649319938.1820083', 78, 1649319954.4950085, 239.28911210188016, 781.2015159640514, 'Media1.mp4_70']"
"['1649319938.1820083', 79, 1649319954.56688, 346.7800508525215, 794.3590294686355, 'Media1.mp4_71']"
"['1649319938.1820083', 80, 1649319954.5888627, 346.7800508525215, 794.3590294686355, 'Media1.mp4_72']"
"['1649319938.1820083', 81, 1649319954.6619222, 536.7271686628737, 765.0630605042661, 'Media1.mp4_73']"
"['1649319938.1820083', 82, 1649319954.6829753, 536.7271686628737, 765.0630605042661, 'Media1.mp4_74']"
