|('Part', 'Obs', 'time', 'x', 'y', 'Video')|
"['1649319328.0663066', 91, 1649319343.4601486, 1064.4574714926998, 394.5097802345381, 'Media1.mp4_83']"
"['1649319328.0663066', 92, 1649319343.5320506, 1065.859413995462, 395.9232457423932, 'Media1.mp4_84']"
"['1649319328.0663066', 93, 1649319343.5598598, 1065.859413995462, 395.9232457423932, 'Media1.mp4_85']"
"['1649319328.0663066', 94, 1649319343.6449354, 1051.821965899223, 389.9923108681394, 'Media1.mp4_86']"
"['1649319328.0663066', 95, 1649319343.6739788, 1051.821965899223, 389.9923108681394, 'Media1.mp4_87']"
"['1649319328.0663066', 96, 1649319343.7395363, 920.7788213052868, 150.80850447684497, 'Media1.mp4_88']"
"['1649319328.0663066', 97, 1649319343.7604833, 920.7788213052868, 150.80850447684497, 'Media1.mp4_89']"
"['1649319328.0663066', 98, 1649319343.8360653, 788.5664550644415, 136.01463423121913, 'Media1.mp4_90']"
"['1649319328.0663066', 99, 1649319343.8590646, 788.5664550644415, 136.01463423121913, 'Media1.mp4_91']"
"['1649319328.0663066', 100, 1649319343.9327052, 784.167197478373, 232.8632586687852, 'Media1.mp4_92']"
"['1649319328.0663066', 101, 1649319344.044935, 801.4957500385626, 239.18635819844985, 'Media1.mp4_93']"
"['1649319328.0663066', 102, 1649319344.071992, 801.4957500385626, 239.18635819844985, 'Media1.mp4_94']"
"['1649319328.0663066', 103, 1649319344.1392438, 779.3919640437643, 370.46986209055035, 'Media1.mp4_95']"
"['1649319328.0663066', 104, 1649319344.159254, 779.3919640437643, 370.46986209055035, 'Media1.mp4_96']"
"['1649319328.0663066', 105, 1649319344.2369268, 700.9940816531503, 818.1778771490608, 'Media1.mp4_97']"
"['1649319328.0663066', 106, 1649319344.2678442, 700.9940816531503, 818.1778771490608, 'Media1.mp4_98']"
"['1649319328.0663066', 107, 1649319344.3332443, 735.3636358689928, 816.0709468303016, 'Media1.mp4_99']"
"['1649319328.0663066', 108, 1649319344.4456549, 834.8377701323502, 731.328362239529, 'Media1.mp4_100']"
"['1649319328.0663066', 109, 1649319344.4775116, 834.8377701323502, 731.328362239529, 'Media1.mp4_101']"
"['1649319328.0663066', 110, 1649319344.5403743, 894.0431773596683, 686.6664522018559, 'Media1.mp4_102']"
"['1649319328.0663066', 111, 1649319344.5623057, 894.0431773596683, 686.6664522018559, 'Media1.mp4_103']"
"['1649319328.0663066', 112, 1649319344.6367965, 964.1715611798718, 594.8781022915523, 'Media1.mp4_104']"
"['1649319328.0663066', 113, 1649319344.6647222, 964.1715611798718, 594.8781022915523, 'Media1.mp4_105']"
"['1649319328.0663066', 114, 1649319344.7332182, 1000.5792784968608, 470.25290067742276, 'Media1.mp4_106']"
"['1649319328.0663066', 115, 1649319344.8451364, 1040.3155912798356, 463.80344587844365, 'Media1.mp4_107']"
"['1649319328.0663066', 116, 1649319344.8704164, 1040.3155912798356, 463.80344587844365, 'Media1.mp4_108']"
"['1649319328.0663066', 117, 1649319344.940957, 1061.0340286714295, 427.2147369101267, 'Media1.mp4_109']"
"['1649319328.0663066', 118, 1649319344.967989, 1061.0340286714295, 427.2147369101267, 'Media1.mp4_110']"
"['1649319328.0663066', 119, 1649319345.0373888, 1108.2097141296194, 389.98637707486523, 'Media1.mp4_111']"
"['1649319328.0663066', 120, 1649319345.0605376, 1108.2097141296194, 389.98637707486523, 'Media1.mp4_112']"
"['1649319328.0663066', 121, 1649319345.1322954, 1084.2362172192506, 419.76645642477615, 'Media1.mp4_113']"
"['1649319328.0663066', 122, 1649319345.2458127, 1103.3119111926262, 407.8027605472298, 'Media1.mp4_114']"
"['1649319328.0663066', 123, 1649319345.29584, 1103.3119111926262, 407.8027605472298, 'Media1.mp4_115']"
"['1649319328.0663066', 124, 1649319345.340547, 1066.3410276500304, 464.74558981114524, 'Media1.mp4_116']"
"['1649319328.0663066', 125, 1649319345.3604648, 1066.3410276500304, 464.74558981114524, 'Media1.mp4_117']"
"['1649319328.0663066', 126, 1649319345.4371774, 1054.6320106977605, 477.2749780766933, 'Media1.mp4_118']"
"['1649319328.0663066', 127, 1649319345.4641137, 1054.6320106977605, 477.2749780766933, 'Media1.mp4_119']"
"['1649319328.0663066', 128, 1649319345.5326612, 1100.09334510994, 413.7390053335812, 'Media1.mp4_120']"
"['1649319328.0663066', 129, 1649319345.5543356, 1100.09334510994, 413.7390053335812, 'Media1.mp4_121']"
"['1649319328.0663066', 130, 1649319345.6451979, 1146.3572351687644, 346.46603860087953, 'Media1.mp4_122']"
"['1649319328.0663066', 131, 1649319345.6700487, 1146.3572351687644, 346.46603860087953, 'Media1.mp4_123']"
"['1649319328.0663066', 132, 1649319345.7398417, 1187.106567058262, 276.19644869283457, 'Media1.mp4_124']"
"['1649319328.0663066', 133, 1649319345.7626665, 1187.106567058262, 276.19644869283457, 'Media1.mp4_125']"
"['1649319328.0663066', 134, 1649319345.836107, 1191.142266725009, 282.43576996202023, 'Media1.mp4_126']"
"['1649319328.0663066', 135, 1649319345.859296, 1191.142266725009, 282.43576996202023, 'Media1.mp4_127']"
"['1649319328.0663066', 136, 1649319345.9329188, 1205.916626662024, 240.1889254254852, 'Media1.mp4_128']"
"['1649319328.0663066', 137, 1649319345.954813, 1205.916626662024, 240.1889254254852, 'Media1.mp4_129']"
"['1649319328.0663066', 138, 1649319346.0450692, 1175.0831650193395, 300.208297433594, 'Media2.mp4_1']"
"['1649319328.0663066', 139, 1649319347.9518886, 1094.0377725553662, 386.0135016849449, 'Media2.mp4_1']"
"['1649319328.0663066', 140, 1649319347.9757824, 1048.9926163501477, 464.72293158220737, 'Media2.mp4_1']"
"['1649319328.0663066', 141, 1649319348.045315, 1041.0209607255924, 470.55775200635685, 'Media2.mp4_1']"
"['1649319328.0663066', 142, 1649319348.0755727, 1041.0209607255924, 470.55775200635685, 'Media2.mp4_1']"
"['1649319328.0663066', 143, 1649319348.140079, 1041.6142347765162, 473.66198396625055, 'Media2.mp4_1']"
"['1649319328.0663066', 144, 1649319348.1559758, 1041.6142347765162, 473.66198396625055, 'Media2.mp4_1']"
"['1649319328.0663066', 145, 1649319348.2361774, 1052.7289504253267, 452.6978838881794, 'Media2.mp4_1']"
"['1649319328.0663066', 146, 1649319348.2621045, 1052.7289504253267, 452.6978838881794, 'Media2.mp4_2']"
"['1649319328.0663066', 147, 1649319348.3328562, 1047.4823880970025, 451.36801290952667, 'Media2.mp4_3']"
"['1649319328.0663066', 148, 1649319348.4443607, 1047.278328525556, 457.25786809645365, 'Media2.mp4_4']"
"['1649319328.0663066', 149, 1649319348.4663882, 1047.278328525556, 457.25786809645365, 'Media2.mp4_5']"
"['1649319328.0663066', 150, 1649319348.5403812, 1013.9809955325418, 499.27428308686194, 'Media2.mp4_6']"
