Exp,Part,Stim,time,x,y,x_pro,y_pro
UV22MS,1664357398,18.jpg,1664357417.6545367,229.85629585742493,235.47722238716648,0.22985629585742492,0.23547722238716648
UV22MS,1664357398,18.jpg,1664357417.7206454,232.00658697479457,233.84576892535188,0.23200658697479457,0.2338457689253519
UV22MS,1664357398,18.jpg,1664357417.735691,232.00658697479457,233.84576892535188,0.23200658697479457,0.2338457689253519
UV22MS,1664357398,18.jpg,1664357417.7844417,259.9567891057016,264.8687911832287,0.2599567891057016,0.2648687911832287
UV22MS,1664357398,18.jpg,1664357417.7954416,259.9567891057016,264.8687911832287,0.2599567891057016,0.2648687911832287
UV22MS,1664357398,18.jpg,1664357417.8309677,332.8577380741428,262.2099622338712,0.33285773807414276,0.26220996223387116
UV22MS,1664357398,18.jpg,1664357417.839074,332.8577380741428,262.2099622338712,0.33285773807414276,0.26220996223387116
UV22MS,1664357398,18.jpg,1664357417.8959548,333.9011263501611,261.75308345560944,0.3339011263501611,0.26175308345560944
UV22MS,1664357398,18.jpg,1664357417.9069169,333.9011263501611,261.75308345560944,0.3339011263501611,0.26175308345560944
UV22MS,1664357398,18.jpg,1664357417.9615626,333.45122375684434,282.5265608492489,0.33345122375684433,0.2825265608492489
UV22MS,1664357398,18.jpg,1664357417.9685373,333.45122375684434,282.5265608492489,0.33345122375684433,0.2825265608492489
UV22MS,1664357398,18.jpg,1664357418.0071886,332.3385460900528,266.59922580657843,0.33233854609005276,0.2665992258065784
UV22MS,1664357398,18.jpg,1664357418.0773113,317.75547137313123,250.40420953850725,0.3177554713731312,0.2504042095385072
UV22MS,1664357398,18.jpg,1664357418.083287,317.75547137313123,250.40420953850725,0.3177554713731312,0.2504042095385072
UV22MS,1664357398,18.jpg,1664357418.1354904,299.42791649802183,211.09317337891088,0.2994279164980218,0.21109317337891087
UV22MS,1664357398,18.jpg,1664357418.143493,299.42791649802183,211.09317337891088,0.2994279164980218,0.21109317337891087
UV22MS,1664357398,18.jpg,1664357418.1990874,306.0986834104274,204.16434545719557,0.3060986834104274,0.20416434545719556
UV22MS,1664357398,18.jpg,1664357418.2061148,306.0986834104274,204.16434545719557,0.3060986834104274,0.20416434545719556
UV22MS,1664357398,18.jpg,1664357418.2468393,305.30548554042133,203.36540873919964,0.3053054855404213,0.20336540873919964
UV22MS,1664357398,18.jpg,1664357418.3178985,304.00115208586004,214.45731731446162,0.30400115208586004,0.21445731731446163
UV22MS,1664357398,18.jpg,1664357418.3348827,304.00115208586004,214.45731731446162,0.30400115208586004,0.21445731731446163
UV22MS,1664357398,18.jpg,1664357418.3753762,304.068267589783,207.87508628558695,0.304068267589783,0.20787508628558696
UV22MS,1664357398,18.jpg,1664357418.383536,304.068267589783,207.87508628558695,0.304068267589783,0.20787508628558696
UV22MS,1664357398,18.jpg,1664357418.4392135,300.2589554329573,214.36152642880853,0.3002589554329573,0.21436152642880854
UV22MS,1664357398,18.jpg,1664357418.4453683,300.2589554329573,214.36152642880853,0.3002589554329573,0.21436152642880854
UV22MS,1664357398,18.jpg,1664357418.4869602,310.2144313753942,195.38871672106998,0.31021443137539423,0.19538871672106997
UV22MS,1664357398,18.jpg,1664357418.55438,329.44045462681146,170.95248150595927,0.3294404546268115,0.17095248150595926
UV22MS,1664357398,18.jpg,1664357418.5674136,329.44045462681146,170.95248150595927,0.3294404546268115,0.17095248150595926
UV22MS,1664357398,18.jpg,1664357418.6150346,332.1715616173211,187.4450880479588,0.33217156161732114,0.18744508804795879
UV22MS,1664357398,18.jpg,1664357418.6210663,332.1715616173211,187.4450880479588,0.33217156161732114,0.18744508804795879
UV22MS,1664357398,18.jpg,1664357418.6802404,327.63158267532845,176.30289569164512,0.32763158267532844,0.17630289569164512
UV22MS,1664357398,18.jpg,1664357418.690253,327.63158267532845,176.30289569164512,0.32763158267532844,0.17630289569164512
UV22MS,1664357398,18.jpg,1664357418.7276435,313.00327455819803,175.6743777129674,0.31300327455819804,0.1756743777129674
UV22MS,1664357398,18.jpg,1664357418.7366433,313.00327455819803,175.6743777129674,0.31300327455819804,0.1756743777129674
UV22MS,1664357398,18.jpg,1664357418.7912157,286.2889029151549,179.96681262501016,0.2862889029151549,0.17996681262501016
UV22MS,1664357398,18.jpg,1664357418.8542178,284.8100439846211,168.99290842201157,0.28481004398462106,0.16899290842201156
UV22MS,1664357398,18.jpg,1664357418.8602147,284.8100439846211,168.99290842201157,0.28481004398462106,0.16899290842201156
UV22MS,1664357398,18.jpg,1664357418.918214,288.6773296081799,178.1943099097537,0.2886773296081799,0.1781943099097537
UV22MS,1664357398,18.jpg,1664357418.924215,288.6773296081799,178.1943099097537,0.2886773296081799,0.1781943099097537
UV22MS,1664357398,18.jpg,1664357418.9662144,283.33290976746486,172.82473749293717,0.28333290976746484,0.17282473749293717
UV22MS,1664357398,18.jpg,1664357418.9722142,283.33290976746486,172.82473749293717,0.28333290976746484,0.17282473749293717
UV22MS,1664357398,18.jpg,1664357419.0302145,291.9927902673821,181.80386426360323,0.29199279026738206,0.18180386426360323
UV22MS,1664357398,18.jpg,1664357419.0362144,291.9927902673821,181.80386426360323,0.29199279026738206,0.18180386426360323
UV22MS,1664357398,18.jpg,1664357419.0942144,299.85676523015627,177.98171547582623,0.29985676523015625,0.17798171547582622
