Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,18.jpg,1663266948.7771647,2844.199008731896,3835.835187173964,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.7861884,2844.199008731896,3835.835187173964,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.8397892,2885.690163223003,3950.1834436029744,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.8712544,2916.5307043954276,4013.553096053592,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.903435,2903.0488014386374,4042.873694267716,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.9354396,2942.7209520625684,4065.5482828212766,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.9674456,2998.1008069312015,4034.873934150661,0.0,0.0
UV22MS,1663266938,18.jpg,1663266949.0005453,2820.3383827975294,4225.035940388482,0.0,0.0
UV22MS,1663266938,18.jpg,1663266949.0317988,3161.9449969515636,4501.768301731848,0.0,0.0
UV22MS,1663266938,18.jpg,1663266949.0631456,3287.040624168969,4557.907125518,0.0,0.0
UV22MS,1663266938,18.jpg,1663266949.09541,3106.5743094859213,4454.0069272033,0.0,0.0
UV22MS,1663266938,27manipulated2.jpg,1663266949.5951982,225.0,225.0,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.6393952,272.90148036068746,492.7864374409173,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.676412,675.5567093358138,739.0402057818288,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.703425,662.5167569713219,743.4030400541429,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.7353947,1042.6994106171462,1282.8317157156027,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.7674193,2783.355917235493,3285.2666738406883,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.7993958,2522.109561088194,3154.7643980131916,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.8313956,2389.4097132050088,3208.09066463635,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.8633978,2633.837374168684,3500.0169304232986,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.9113946,2774.8340191612483,3432.4290818073187,-220.8349950443444,-1158.6587683728394
UV22MS,1663266938,27manipulated2.jpg,1663266949.9433951,2757.1375635554928,3480.1510840986025,-220.8349950443444,-1158.6587683728394
